x,y,z
105.0,252.0,0.0
111.0,250.0,1.0
114.0,254.0,2.0
112.0,258.0,3.0
111.0,251.0,4.0
110.0,252.0,5.0
106.0,259.0,6.0
109.0,257.0,7.0
111.0,252.0,8.0
117.0,257.0,9.0
114.0,253.0,10.0
106.0,254.0,11.0
115.0,257.0,12.0
112.0,249.0,13.0
111.0,250.0,14.0
117.0,255.0,15.0
119.0,254.0,16.0
119.0,260.0,17.0
112.0,255.0,18.0
114.0,254.0,19.0
117.0,266.0,20.0
120.0,260.0,21.0
115.0,261.0,22.0
116.0,256.0,23.0
113.0,260.0,24.0
113.0,263.0,25.0
121.0,258.0,26.0
124.0,265.0,27.0
118.0,262.0,28.0
123.0,263.0,29.0
120.0,263.0,30.0
117.0,273.0,31.0
121.0,266.0,32.0
126.0,262.0,33.0
120.0,270.0,34.0
127.0,263.0,35.0
110.0,269.0,36.0
124.0,261.0,37.0
